Count,Text,User,User_location,User Continent,User_verified,fav_count,rt_count,tweet_date
50,@DaryRezvani What’s opentowork? https://t.co/d3oswXvZuo,Shannon™️,"Los Angeles, CA",North America,FALSE,0,0,28-03-2021
51,Sikich LLP is looking for Audit Senior. Learn more or Jobvite a friend. #job #hiring #forhire #jobpost #workhere… https://t.co/q4iqJzn2gP, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,28-03-2021
52,@DaryRezvani What’s opentowork? https://t.co/8V2kfs9BbT,Shannon™️,"Los Angeles, CA",North America,FALSE,0,0,28-03-2021
53,"RT @creatively_rose: My first professional tech experience had me learn WordPress, so this weekend I'm spinning up a new portfolio in WP to…",Code Newbie Bot,,,FALSE,0,1,28-03-2021
54,"My first professional tech experience had me learn WordPress, so this weekend I'm spinning up a new portfolio in WP… https://t.co/39qZrPi69W",Rose Landroche,,,FALSE,1,1,28-03-2021
55,"https://t.co/wjEUJEHY7U

Bit of job begging mixed with body shop products #bodyshop #youtubd #opentowork… https://t.co/x7Y7V4P7V6",Fiona Myers,"Halesowen, England",Europe,FALSE,0,0,28-03-2021
56,"RT @FindTampaJobs: Vantagepoint ai, LLC has a great Senior Inside Sales Executive opportunity. Learn more or Jobvite a friend to join one o…",PyScale,"Town 'n' Country, FL",North America,FALSE,0,1,28-03-2021
57,"Vantagepoint ai, LLC has a great Senior Inside Sales Executive opportunity. Learn more or Jobvite a friend to join… https://t.co/CAJbWu4jkP",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,1,27-03-2021
58,"👉HIRING 💼👔
_____________
DIRECTOR OF ENGINEERING
(CUSTOM WOODWORK)
CR5530 - GA State
Salary $80,000 - $8100,000 / y… https://t.co/gAxnBUlMJA",WoodJobs.com,USA & Canada,North America,FALSE,3,1,27-03-2021
59,"RT @fredtosan: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advic…",Chukwualasu,Benin,Africa,FALSE,0,5,27-03-2021
60,"RT @fredtosan: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advic…",Muno,Nigeria,Africa,FALSE,0,5,27-03-2021
61,Hi everyone - I am exploring opportunities to work in America in 2022 and would appreciate your support. Thank you… https://t.co/OdnP41pqpV,Hayley Campbell,Australia,North America,FALSE,0,0,27-03-2021
62,"RT @MetalRecruiters: Kenny Zaidner, Talent Acquisition Director
kenny@metalrecruiters.com
954-889-7829

#manufacturing #HVAC #sheetmetal ##…",The Job Guy,"Chicago, IL",North America,FALSE,0,2,27-03-2021
63,"Kenny Zaidner, Talent Acquisition Director
kenny@metalrecruiters.com
954-889-7829

#manufacturing #HVAC #sheetmetal… https://t.co/UZJ6JSXlc4",MetalRecruiters.com,USA & Canada,North America,FALSE,2,2,27-03-2021
64,"RT @FindTampaJobs: Vantagepoint ai, LLC has a great Senior Inside Sales Executive opportunity. Learn more or Jobvite a friend to join one o…",Roaring Brain,,,FALSE,0,1,27-03-2021
65,"Vantagepoint ai, LLC has a great Senior Inside Sales Executive opportunity. Learn more or Jobvite a friend to join… https://t.co/6TzYC4sNyj",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,1,1,27-03-2021
66,"RT @fredtosan: Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advic…",Sam Truth,,,FALSE,0,5,27-03-2021
67,Sikich LLP is looking for NetSuite - Implementation Consultant (OpenAir). Learn more or Jobvite a friend. #job… https://t.co/Pw5wPFJJj2, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,27-03-2021
68,Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connectio… https://t.co/ZsMu3rLMaV,Lone Wolf,port harcourt,Africa,FALSE,3,5,27-03-2021
69,"🌟HIRING - PLEASE SHARE - HIRING🌟
_______________
Fabrication Shop Supervisor
(Metal Fabricator)
LOCATION: OR  STATE… https://t.co/CERUT1D2tG",MetalRecruiters.com,USA & Canada,North America,FALSE,1,0,27-03-2021
70,RT @hhyouthjazz: Job opening: Peripatetic Music Teacher at Hot House Music. https://t.co/7JXmlEFRkN #opentowork @HHMusicSwansea https://t.c…,hhapprentice,"Derby, England",Europe,FALSE,0,1,27-03-2021
71,"We're looking for you! CMH is now hiring in Astoria, Warrenton and Seaside. Positions include medical assistants, n… https://t.co/zwWIPWWWJR",Columbia Memorial Hospital,"Astoria, OR",North America,FALSE,0,0,27-03-2021
72,"#LinkedIn rolls out temporary profile photo frames for when you are #OpenToWork. 

#SocialChatter #SMM #SocialMedia… https://t.co/OaRv2Cy2iS",Social Chefs,,,FALSE,0,0,27-03-2021
73,Job opening: Peripatetic Music Teacher at Hot House Music. https://t.co/7JXmlEFRkN #opentowork @HHMusicSwansea https://t.co/SH2GWDV7wp,Jon Eno,UK,Europe,FALSE,0,1,27-03-2021
74,"Vantagepoint ai, LLC has a great Senior Business Development Executive opportunity. Learn more or Jobvite a friend… https://t.co/mpKwwQ2YUn",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,0,27-03-2021
75,"RT @harsha_mangnani: Hi #datafam, have a look at my dashboard on Web Traffic Analysis. Let me know what you think: https://t.co/Fueep7HpOJ…",SyntaxError,,,FALSE,0,1,27-03-2021
76,"Hi #datafam, have a look at my dashboard on Web Traffic Analysis. Let me know what you think:… https://t.co/NSB7C3cnH6",Harsha Mangnani,,,FALSE,3,1,27-03-2021
77,Sikich LLP is looking for NetSuite - Implementation Consultant (Supply Chain). Learn more or Jobvite a friend. #job… https://t.co/Fj1SxJF5Fm, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,27-03-2021
78,"Vantagepoint ai, LLC has a great Account Manager opportunity. Learn more or Jobvite a friend to join one of the Bes… https://t.co/y7AzFWwoe3",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,0,27-03-2021
79,"RT @TomWoodED: As a Sales Person, do you focus on the Base Salary or OTE and Targets?

#sales #newbusiness #cloud #saas #ote #targets #vari…",Algocentric Digital Consultancy,"Toronto, Ontario",North America,FALSE,0,2,27-03-2021
80,"As a Sales Person, do you focus on the Base Salary or OTE and Targets?

#sales #newbusiness #cloud #saas #ote… https://t.co/3O6benw722",Tom Wood,"Puttenham, England",Europe,FALSE,1,2,27-03-2021
81,"RT @hortijobs: Global Generation is an educational charity founded in 2004, they are recruiting for a part-time Commissions Gardener to joi…",Jobs in London,"London, England",Europe,FALSE,0,1,27-03-2021
82,"From Thursday 1st April 2021, the National #MinimumWage and National #LivingWage rates will increase 💰 

Discover a… https://t.co/zO2zyvY1NG",Riada Resourcing,Northern Ireland,North America,FALSE,0,0,27-03-2021
83,"RT @IdealJobsWorld1: Medical Jobs in Qatar

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter #jobseek #jobopen…",careeria,United Kingdom,Europe,FALSE,0,4,27-03-2021
84,"Global Generation is an educational charity founded in 2004, they are recruiting for a part-time Commissions Garden… https://t.co/Zf5S7tQmUX",horticruitment,,,FALSE,0,1,27-03-2021
85,"RT @IdealJobsWorld1: Banking Jobs in Lahore

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter  #jobopenings #o…",careeria,United Kingdom,Europe,FALSE,0,4,27-03-2021
86,"How to Unhide Rows in Excel https://t.co/YVBjJCw099 via @YouTube 
videos on my second channel about IT. from basic… https://t.co/DCXV3EM6nw",RobJorg,"Amsterdam, The Netherlands",Europe,FALSE,1,0,27-03-2021
87,"Vantagepoint ai, LLC has a great Customer Service opportunity. Learn more or Jobvite a friend to join one of the Be… https://t.co/ZtnfnEFX5g",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,1,27-03-2021
88,Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connectio… https://t.co/Uu8njCmG0I,Michael Ajayi,"Glendale, Los Angeles",North America,FALSE,0,0,27-03-2021
89,"🌟HIRING - PLEASE SHARE - HIRING🌟
_______________
INSIDE SALES MANAGER
(Steel Supplier)
LOCATION: IL STATE
SALARY: $… https://t.co/a6YGlGozrF",MetalRecruiters.com,USA & Canada,North America,FALSE,1,0,27-03-2021
90,Sikich LLP is looking for Sr. Project Accountant Accounting Services. Learn more or Jobvite a friend. #job #hiring… https://t.co/5VqGG0X71G, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,27-03-2021
91,"RT @FindTampaJobs: Vantagepoint ai, LLC has a great Customer Service opportunity. Learn more or Jobvite a friend to join one of the Best Pl…",PyScale,"Town 'n' Country, FL",North America,FALSE,0,1,27-03-2021
92,Can you believe that this whole time I had not set my LinkedIn profile to #opentowork 💀,hell,Ohio,North America,FALSE,0,0,27-03-2021
93,"Vantagepoint ai, LLC has a great Customer Service opportunity. Learn more or Jobvite a friend to join one of the Be… https://t.co/lZL618NyKt",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,1,1,26-03-2021
94,"RT @_hnk_w_ca: DAY 1097 — Every day is an opportunity to reinvent creativity. https://t.co/qWty99UgMB

#typography #graphicdesign #Kreation…",Remote Jobs by Career Vault,,,FALSE,0,2,26-03-2021
95,"RT @_hnk_w_ca: DAY 1097 — Every day is an opportunity to reinvent creativity. https://t.co/qWty99UgMB

#typography #graphicdesign #Kreation…",Jerry Chen,,,FALSE,0,2,26-03-2021
96,"DAY 1097 — Every day is an opportunity to reinvent creativity. https://t.co/qWty99UgMB

#typography #graphicdesign… https://t.co/OAekrJiY68",🇩🇪 Kevin H. Schneider | IG@_twc_daily | ©2021,Deutschland,Europe,FALSE,0,2,26-03-2021
97,"https://t.co/DpQFpKYd3P

I am open to work, experienced Customer Service Advisor in the online retail industry.… https://t.co/XbDQHbMToW",Fiona Myers,"Halesowen, England",Europe,FALSE,1,1,26-03-2021
98,"If you're an Entrepreneur, #Agent or #OpenToWork in Imperial or Los Angeles county I've got amazing news: We're exp… https://t.co/yqUxOxwxnN","Byron Kelly, CA 0K58667. MD 3000479723. TX 2264974","CA (USA), plus 23 states",North America,FALSE,0,0,26-03-2021
99,"RT @IdealJobsWorld1: Banking Jobs in Lahore

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter  #jobopenings #o…",HumanResource by PartwellHR,"Berlin, Germany",Europe,FALSE,0,4,26-03-2021
100,"Banking Jobs in Lahore

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter  #jobopenings… https://t.co/5twnkL9bpw",Ideal Jobs World,Karachi,Asia,FALSE,3,4,26-03-2021
101,"RT @IdealJobsWorld1: Medical Jobs in Qatar

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter #jobseek #jobopen…",HumanResource by PartwellHR,"Berlin, Germany",Europe,FALSE,0,4,26-03-2021
102,"Medical Jobs in Qatar

#recruitment #jobs #hiring #recruiting #job #jobsearch #HR #career #recruiter #jobseek… https://t.co/iFpn3v8Txw",Ideal Jobs World,Karachi,Asia,FALSE,2,4,26-03-2021
103,"RT @WisePointGroup1: 🤯 FREE #RESUME AND #LINKEDIN REVIEWS 🤯 seriously, it’s #free. Check out our website! https://t.co/oMCO0urU4E
.
.
#job…",careeria,United Kingdom,Europe,FALSE,0,1,26-03-2021
104,This is Rashedul Islam. I would like to introduce myself as a Proficient Digital Marketer &amp; Shopify Dropshipping.… https://t.co/VjXJj9gPe4,Rashedul Islam,"Gazipur, Dhaka",Asia,FALSE,1,0,26-03-2021
105,"🤯 FREE #RESUME AND #LINKEDIN REVIEWS 🤯 seriously, it’s #free. Check out our website! https://t.co/oMCO0urU4E
.
.… https://t.co/6vZcqYmPXV",WisePointGroup,"Texas, USA",North America,FALSE,0,1,26-03-2021
106,"Vantagepoint ai, LLC has a great Inside Sales opportunity. Learn more or Jobvite a friend to join one of the Best P… https://t.co/hC0DtKUGsi",Find Tampa Jobs,"Wesley Chapel, FL",North America,FALSE,0,0,26-03-2021
107,Sikich LLP is looking for Tax Sr. Manager. Learn more or Jobvite a friend. #job #hiring #forhire #jobpost #workhere… https://t.co/UyGJYgL5SH, Frank Brown ,"Chicago, IL",North America,FALSE,0,0,26-03-2021
108,"RT @CA_jobvacancies: Product Support Specialist II  Click to see the job requirements and APPLY : https://t.co/iXbbd2Fh2b 
March 25, 2021 a…",The Job Guy,"Chicago, IL",North America,FALSE,0,1,26-03-2021
109,"RT @CA_jobvacancies: School Nurse (LVN/LPN)  Click to see the job requirements and APPLY : https://t.co/S51OgYsy1l 
March 25, 2021 at 12:30…",The Job Guy,"Chicago, IL",North America,FALSE,0,1,26-03-2021
110,"RT @CA_jobvacancies: Sales Representative – Work From Home  Click to see the job requirements and APPLY : https://t.co/RvKCLjKC2c 
March 25…",The Job Guy,"Chicago, IL",North America,FALSE,0,1,26-03-2021
111,"RT @CA_jobvacancies: Installation Contractor  Click to see the job requirements and APPLY : https://t.co/izNqct9v2S 
March 25, 2021 at 12:3…",The Job Guy,"Chicago, IL",North America,FALSE,0,1,26-03-2021
112,RT @CA_jobvacancies: Commercial Team Truck Driver Jobs: Earn up to 80 CPM!  Click to see the job requirements and APPLY : https://t.co/zo4h…,The Job Guy,"Chicago, IL",North America,FALSE,0,1,26-03-2021
113,"The pilot.

#thepilot #thewhitebuffalo #music #carneyhuesosart #fire #bigboy #red #ilustration #mothiongraphics… https://t.co/yt5kGckeNs",Ren.,,,FALSE,1,0,26-03-2021
114,"Product Support Specialist II  Click to see the job requirements and APPLY : https://t.co/iXbbd2Fh2b 
March 25, 202… https://t.co/bpExtFl6vW",California Job Vacancies,California LA,North America,FALSE,0,1,26-03-2021
115,"School Nurse (LVN/LPN)  Click to see the job requirements and APPLY : https://t.co/S51OgYsy1l 
March 25, 2021 at 12… https://t.co/2RvJ5Qtnmc",California Job Vacancies,California LA,North America,FALSE,0,1,26-03-2021
116,Physician / Family Practice / California / Locums to Perm / Bay Area Locums-to-Perm Job  Click to see the job requi… https://t.co/u13XgetxEX,California Job Vacancies,California LA,North America,FALSE,0,0,26-03-2021
117,"Sales Representative – Work From Home  Click to see the job requirements and APPLY : https://t.co/RvKCLjKC2c 
March… https://t.co/hH0EYxYl2U",California Job Vacancies,California LA,North America,FALSE,0,1,26-03-2021
118,"Installation Contractor  Click to see the job requirements and APPLY : https://t.co/izNqct9v2S 
March 25, 2021 at 1… https://t.co/OJemYr4GNm",California Job Vacancies,California LA,North America,FALSE,0,1,26-03-2021
119,Commercial Team Truck Driver Jobs: Earn up to 80 CPM!  Click to see the job requirements and APPLY :… https://t.co/NkD7mbiJ7Z,California Job Vacancies,California LA,North America,FALSE,0,1,26-03-2021
120,"French Private Tutoring Jobs Richmond, California  Click to see the job requirements and APPLY :… https://t.co/xiA6Q1bx7P",California Job Vacancies,California LA,North America,FALSE,0,0,26-03-2021
121,"Dry Van – $1,150 /wk Guaranteed – Home Weekly  Click to see the job requirements and APPLY :… https://t.co/bVl30uAuyB",California Job Vacancies,California LA,North America,FALSE,0,0,26-03-2021
122,"Licensed Health Insurance Agent – Work from Home, Great Sales opportunity  Click to see the job requirements and AP… https://t.co/9MtzsWHU6l",California Job Vacancies,California LA,North America,FALSE,0,0,26-03-2021
123,"CDL-A Drivers – Regional &amp; OTR Routes, Up to 52 CPM  Click to see the job requirements and APPLY :… https://t.co/rOlzonUipN",California Job Vacancies,California LA,North America,FALSE,0,0,26-03-2021
124,"Introduction video! The start was cut off. But hi my name is Amy... ! 😊 🙋
#opentowork #eslteacher #travel

*univers… https://t.co/FJZ7mYoyzN",Amy McKinless,"Seville, Spain",Europe,FALSE,0,0,26-03-2021
125,"We're Hiring!

GovData are looking for a #Bid #Support #Professional for the IT Sector!

Could this be your next ca… https://t.co/XaK0d2YgLm",GovData Ltd,United Kingdom,Europe,FALSE,0,0,26-03-2021
126,"I can’t wait to experience video meeting burnout. 😊 

#weekendmood  #marketing #radio #opentowork",JP Hastings,"Rochester, NY",North America,FALSE,1,0,26-03-2021
127,RT @mac_experts: #R10D11 Playing with 'ancient' Asynchronous JS today. Particularly with XMLHttpRequest and its methods. Now I am be able t…,CodersNotes,codeanywhere.com,South America,FALSE,0,3,26-03-2021
128,RT @mac_experts: #R10D11 Playing with 'ancient' Asynchronous JS today. Particularly with XMLHttpRequest and its methods. Now I am be able t…,#30DaysOfCode,Leave a star at GitHub 👉,South America,FALSE,0,3,26-03-2021
129,RT @mac_experts: #R10D11 Playing with 'ancient' Asynchronous JS today. Particularly with XMLHttpRequest and its methods. Now I am be able t…,Very Proud Robot,,,FALSE,0,3,26-03-2021
130,#R10D11 Playing with 'ancient' Asynchronous JS today. Particularly with XMLHttpRequest and its methods. Now I am be… https://t.co/6LRrfBQRSv,Nick Haras aka macnick,"Athens || Volos , Greece",Europe,FALSE,5,3,26-03-2021
131,Graham Personnel Services is looking to hire reliable and dependable people for a local Winston-Salem hardware dist… https://t.co/HHhqf5HEY8,Graham Personnel Services,"Greensboro, NC",North America,FALSE,0,0,26-03-2021
132,RT @Persistentsys: We’re hiring Salesforce Developers /Architects to join our team. Apply Now - https://t.co/lNSNLQZtZJ #JobVacancy #Hiring…,Mahesh Sawaiker,,,FALSE,0,1,26-03-2021
133,RT @stand8io: STAND 8 is #hiring for a #Salesforce Application Developer #REMOTE out of #California. Reach out today or click the link for…,sfdcbot 🤖,The Cloud,South America,FALSE,0,1,26-03-2021
134,STAND 8 is #hiring for a #Salesforce Application Developer #REMOTE out of #California. Reach out today or click the… https://t.co/lJlzVi5fmj,STAND 8 Technology Services,"Los Angeles, CA",North America,FALSE,0,1,26-03-2021
